CENSUS_YEAR,WARD,DWELLING_TYPE,DWELLING_TYPE_CODE,DWELLING_TYPE_DESCRIPTION,DWELLING_CNT,RESIDENT_CNT,OCPD_DWELLING_CNT,VACANT_DWELLING_CNT,OCPD_OWNERSHIP_CNT,RENOVATION_DWELLING_CNT,UNDER_CONST_DWELLING_CNT,INACTIVE_CNT,OTHER_PURPOSE_CNT
2019,3,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",3,280,3,0,0,0,0,0,0
2019,4,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,24741,65669,24032,483,20149,121,62,16,27
2019,4,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",3741,9191,3523,166,1724,21,12,3,16
2019,4,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,186,265,164,14,11,8,0,0,0
2019,4,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,4359,6458,4075,252,737,17,1,4,10
2019,4,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",5235,12470,4925,278,1994,15,4,5,8
2019,4,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,126,205,119,4,105,2,0,1,0
2019,4,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,1954,2478,1424,384,85,12,6,114,14
2019,4,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,3,3,2,0,1,0,0,0,1
2019,4,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",6,9,6,0,0,0,0,0,0
2019,4,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",2,313,2,0,0,0,0,0,0
2019,4,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,3,50,1,0,0,0,0,0,2
2019,5,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,18005,67440,16978,391,13401,37,482,107,10
2019,5,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",2151,6515,1893,50,1335,2,206,0,0
2019,5,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,90,223,82,6,75,1,1,0,0
2019,5,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,3626,7087,3016,221,1203,1,377,2,9
2019,5,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",2949,7492,2453,198,1781,3,289,1,5
2019,5,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,3,10,3,0,1,0,0,0,0
2019,5,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,2801,6357,2181,418,565,9,1,190,2
2019,5,COMMUNAL HOUSING,8,"A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.",2,4,2,0,0,0,0,0,0
2019,5,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",1,4,1,0,1,0,0,0,0
2019,8,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,9864,23687,9158,403,7003,78,151,8,66
2019,8,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",3771,8853,3412,213,2297,16,113,2,15
2019,5,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",3,585,2,0,0,0,1,0,0
2019,5,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,14,0,0,14,0,0,0,0,0
2019,6,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,21215,65191,20681,312,19034,69,129,14,10
2019,6,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",2455,5350,2363,69,1770,5,16,1,1
2019,6,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,86,217,75,5,29,0,5,0,1
2019,6,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,5744,8416,5136,357,2335,14,217,7,13
2019,6,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",5164,10634,4897,192,3292,14,48,7,6
2019,6,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,1,0,0,1,0,0,0,0,0
2019,6,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,331,564,285,41,27,1,0,2,2
2019,6,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",4,5,2,0,2,0,0,1,1
2019,6,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",8,653,8,0,0,0,0,0,0
2019,6,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,5,189,5,0,0,0,0,0,0
2019,7,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,12768,29461,11902,520,8371,99,161,17,69
2019,7,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",4330,10562,3979,183,2653,13,142,2,11
2019,7,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,308,434,258,29,57,1,18,0,2
2019,7,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,16474,22102,14539,1224,3493,48,314,52,297
2019,7,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",2625,5045,2315,178,1223,25,94,3,10
2019,7,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,2627,3486,2073,381,118,26,9,113,25
2019,7,COMMUNAL HOUSING,8,"A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.",18,30,10,0,1,7,0,1,0
2019,7,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,35,35,31,2,4,0,1,0,1
2019,7,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",12,18,10,0,2,0,1,0,1
2019,7,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",11,1643,11,0,0,0,0,0,0
2019,7,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",5,113,2,2,0,0,0,0,1
2019,7,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,42,4351,17,25,0,0,0,0,0
2019,8,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,354,485,287,35,79,0,30,1,1
2019,8,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,33071,46714,29960,2081,6474,99,542,42,347
2019,8,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",4171,8485,3874,182,1888,10,84,2,19
2019,8,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,1872,2441,1461,280,105,23,7,69,32
2019,8,COMMUNAL HOUSING,8,"A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.",4,5,4,0,0,0,0,0,0
2019,8,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,63,58,49,2,2,1,1,2,8
2019,8,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",66,76,45,15,13,0,1,0,5
2019,8,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",8,1074,8,0,0,0,0,0,0
2019,8,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",2,28,1,1,0,0,0,0,0
2019,8,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,23,1093,12,11,0,0,0,0,0
2019,9,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,18105,46647,17458,405,12860,110,63,20,49
2019,9,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",3713,9993,3516,139,1653,20,30,5,3
2019,9,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,150,264,133,8,33,0,9,0,0
2019,9,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,9317,13799,8462,546,2184,20,265,3,21
2019,9,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",5027,12413,4741,198,2102,19,28,29,12
2019,9,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,966,1782,890,64,784,4,1,0,7
2019,9,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,3715,5026,2888,592,165,43,5,161,26
2019,9,COMMUNAL HOUSING,8,"A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.",3,19,3,0,0,0,0,0,0
2019,9,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,63,61,34,4,5,1,0,1,23
2019,9,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",16,24,13,0,3,1,1,0,1
2019,9,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",9,998,9,0,0,0,0,0,0
2019,9,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",3,32,2,1,0,0,0,0,0
2019,9,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,15,637,8,7,0,0,0,0,0
2019,10,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,20098,63926,19625,350,15780,90,8,6,19
2019,10,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",2905,8075,2767,118,1710,19,1,0,0
2019,10,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,24,63,24,0,4,0,0,0,0
2019,10,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,2207,4035,2108,90,483,5,0,1,3
2019,10,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",4177,11860,3968,184,1707,14,1,3,7
2019,10,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,302,497,285,15,279,2,0,0,0
2019,10,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,2648,4114,1890,505,172,18,1,222,12
2019,10,COMMUNAL HOUSING,8,"A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.",2,9,2,0,1,0,0,0,0
2019,10,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,1,4,1,0,0,0,0,0,0
2019,10,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",5,4,2,1,0,1,0,0,1
2019,10,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",2,282,2,0,0,0,0,0,0
2019,10,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",1,9,1,0,0,0,0,0,0
2019,10,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,20,23,3,17,0,0,0,0,0
2019,11,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,21167,53159,20437,455,17982,152,76,28,19
2019,11,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",2494,5666,2349,113,1348,16,11,2,3
2019,11,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,277,544,257,18,19,2,0,0,0
2019,11,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,19793,28159,18067,1361,4454,92,21,17,235
2019,11,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",4399,9303,4199,168,2461,12,12,4,4
2019,11,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,94,59,37,2,35,0,0,54,1
2019,11,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,826,1137,635,114,40,8,1,40,28
2019,11,COMMUNAL HOUSING,8,"A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.",6,48,5,1,0,0,0,0,0
2019,11,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,17,7,3,4,2,0,0,0,10
2019,11,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",8,20,7,1,3,0,0,0,0
2019,11,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",11,1233,10,1,0,0,0,0,0
2019,11,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",1,39,1,0,0,0,0,0,0
2019,11,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,20,629,11,8,0,0,0,0,1
2019,12,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,26627,83182,25918,298,23257,23,329,3,56
2019,12,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",2341,5675,2237,57,1764,1,40,1,5
2019,12,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,3,1,1,0,0,0,2,0,0
2019,12,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,6311,9537,5458,294,2869,9,517,2,31
2019,12,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",5196,10390,4869,154,3431,5,152,0,16
2019,12,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,151,257,140,9,126,0,0,0,2
2019,12,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,141,202,117,19,20,0,0,2,3
2019,12,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",94,102,82,11,2,0,0,0,1
2019,12,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",24,790,24,0,0,0,0,0,0
2019,12,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",1,39,1,0,0,0,0,0,0
2019,12,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,4,0,0,4,0,0,0,0,0
2019,13,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,23726,71383,23185,315,20125,28,159,6,33
2019,13,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",1460,3365,1380,42,1091,4,32,1,1
2019,13,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,8,14,7,1,5,0,0,0,0
2019,13,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,4105,7030,3772,198,2035,4,115,9,7
2019,13,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",3862,8219,3539,115,2230,5,188,11,4
2019,13,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,4,2,4,0,0,0,0,0,0
2019,13,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,296,533,244,45,23,1,0,6,0
2019,13,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",6,662,5,1,0,0,0,0,0
2019,13,OTHER - INSTITUTIONS,12,"A structure where multiple residents are temporarily living and where the cooking is centrally provided for and which is not prepared by the residents, e.g. hospice, jail, etc.",1,27,1,0,0,0,0,0,0
2019,14,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,25956,74157,25352,334,23420,60,161,11,38
2019,14,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",2221,5220,2133,48,1739,7,24,2,7
2019,14,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,14,25,12,2,9,0,0,0,0
2019,14,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,3453,5125,3118,314,1415,3,3,2,13
2019,14,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",3202,7009,2951,138,1795,5,96,1,11
2019,14,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,210,325,169,30,22,1,1,9,0
